"create_date","update_date","coherence","geom","height","lat","lon","ordering","geom_4326","periodic_properties","old_scatterer_id","scatterer_id"
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.96","0101000020110F0000905FCB200AA43C41EDB26037E62C5341","20.4","41.09736","16.861397",414855041,"0101000020E61000005DDF878384DC304023F8DF4A768C4440","{""g"": {""a"": 1.1873, ""v"": 0.0, ""an"": 0.0283}, ""ly"": {""a"": 0.4381, ""v"": -0.1526, ""an"": 0.0115}}",1190195070,711265718
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.68","0101000020110F0000D610166FFBA33C41D85A18D8E62C5341","24.2","41.097377","16.861265",2007294081,"0101000020E61000007F30F0DC7BDC3040F9307BD9768C4440","{""g"": {""a"": 10.4734, ""v"": 0.0, ""an"": 0.2736}, ""ly"": {""a"": 5.0242, ""v"": -2.8509, ""an"": 0.1323}}",1190195074,711265714
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.9","0101000020110F00003A9A7C7100A43C4135105F9FE62C5341","17.6","41.097371","16.86131",1708672630,"0101000020E6100000BFB7E9CF7EDC3040174A26A7768C4440","{""g"": {""a"": 7.6199, ""v"": 0.0, ""an"": 0.1982}, ""ly"": {""a"": 1.7136, ""v"": -0.1409, ""an"": 0.0451}}",1190195077,711265711
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.86","0101000020110F0000F3C154EBD5A33C41D36E2965E82C5341","40.8","41.097419","16.860928",1144218716,"0101000020E6100000F03504C765DC30402881CD39788C4440","{""g"": {""a"": 2.5765, ""v"": 0.0, ""an"": 0.0650}, ""ly"": {""a"": 0.8155, ""v"": 0.1333, ""an"": 0.0215}}",1190195080,711265708
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.85","0101000020110F0000C0EEF031B7A33C41290C0DB0E92C5341","43.1","41.097454","16.860652",1227913629,"0101000020E6100000AC3C81B053DC3040A46E675F798C4440","{""g"": {""a"": 4.7322, ""v"": 0.0, ""an"": 0.1219}, ""ly"": {""a"": 0.3822, ""v"": 0.7608, ""an"": 0.0101}}",1190195104,711265684
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.75","0101000020110F00005610E626A0A33C41BABBDAA5EA2C5341","55.9","41.09748","16.860445",1318294147,"0101000020E6100000B8019F1F46DC3040CD0182397A8C4440","{""g"": {""a"": 5.5255, ""v"": -0.5, ""an"": 0.1429}, ""ly"": {""a"": 3.9981, ""v"": 1.0218, ""an"": 0.1053}}",1190195108,711265680
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.96","0101000020110F0000A8390DA1B1A33C417E5BC6E8E92C5341","40.7","41.09746","16.860602",1882367296,"0101000020E610000048DFA46950DC30408655BC91798C4440","{""g"": {""a"": 2.4678, ""v"": 0.0, ""an"": 0.0621}, ""ly"": {""a"": 1.3617, ""v"": 1.805, ""an"": 0.0359}}",1190195112,711265676
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.92","0101000020110F0000BE16E14FBAA33C41CD2C3C8AE92C5341","31.6","41.09745","16.86068",356995730,"0101000020E61000003F52448655DC3040637FD93D798C4440","{""g"": {""a"": 5.0214, ""v"": 0.0, ""an"": 0.1295}, ""ly"": {""a"": 3.5989, ""v"": 3.1464, ""an"": 0.0948}}",1190195117,711265671
"2020-05-14 19:39:32.569711","2020-11-11 16:52:55.562073","0.83","0101000020110F0000DAD19B9395A33C41AD5D4D17EB2C5341","50.7","41.097492","16.86035",461422646,"0101000020E6100000151DC9E53FDC304092CF2B9E7A8C4440","{""g"": {""a"": 4.3783, ""v"": -0.5, ""an"": 0.1126}, ""ly"": {""a"": 1.1588, ""v"": -0.468, ""an"": 0.0305}}",1190195121,711265667
"2020-05-14 19:39:32.649874","2020-11-11 16:52:55.562073","0.64","0101000020110F000029A1E75D3FA83C414328B1BF612D5341","27.7","41.100705","16.871074",2061414583,"0101000020E61000005A65A6B4FEDE304097C5C4E6E38C4440","{""g"": {""a"": 4.9079, ""v"": 2.0, ""an"": 0.1265}, ""ly"": {""a"": 0.662, ""v"": 1.529, ""an"": 0.0174}}",1190205200,711255754
